Person Name,VIAF ID,Aliases
Joseph Shaw,18647753,Joseph Shaw
John Martyn,18650208,John Martyn; J. Martyn
Robert Nelson,18664895,Robert Nelson
Silvestro Bonfigliuoli,18897214,Silvestro Bonfigliuoli
Frederick Montagu,19552454,Frederick Montagu
John Mudge,19552973,John Mudge
Thomas Boothby Parkyns,19553659,Thomas Boothby Parkyns
Sir Edward Wilmot,19556565,Sir Edward Wilmot; Edward Wilmot; Dr. Wilmot
John Ker,19557125,John Ker
Louis Phelypeaux,19635062,Louis Phelypeaux
Giovanni Giacomo Marinoni,19668788,Giovanni Giacomo Marinoni
Jacques Callot,19687783,Callot
Pierre Varignon,19709327,Pierre Varignon
Jean Jacques Barthelemy,19710661,Jean Jacques Barthelemy
John Seally,19712599,John Seally
Thomas Cooke,19715963,Thomas Cooke
Etienne Fourmont,19724806,Etienne Fourmont
Eustachio Manfredi,19725880,Eustachio Manfredi
Bartolomeo Soliani,19754288,Bartolomeo Soliani
John Smeaton,19790673,John Smeaton
Torbern Olof Bergman,19810665,Torbern Olof Bergman
Georg Matthias Bose,19885929,Georg Matthias Bose
Henry Baker,20018411,Henry Baker
Robert Trevor,20020684,Robert Trevor
Carlo Taglini,20029793,Carlo Taglini
Karl Friedrich Hundertmark,20033542,Karl Friedrich Hundertmark
Edward Baynard,20078711,Edward Baynard; Dr. Baynard
Hendrik Hop,20080051,Hendrik Hop
Johann Theodor Heinson,20112530,Johann Theodor Heinson
Philip Friedrich Gmelin,20438019,Philip Friedrich Gmelin
William Watson,20461029,William Watson; Mr William Watson; Mr. William Watson; Mr. Wm. Watson
William Dunker,,Mr. Wm. Dunker
Jean Roy,20463354,Jean Baptiste Le Roy
Harman Verelst,20857375,Harman Verelst
Joshua Ward,21021187,Joshua Ward
Samuel Squire,21021806,Samuel Squire
Joseph Williamson,21105841,Joseph Williamson
Robert Dingley,21114185,Robert Dingley
Dingley,,Dingley
Charles Collignon,21274382,Charles Collignon
Thomas Baines,21592774,Thomas Baines
George Heathcote,21706085,George Heathcote
William North,21982758,William North
Francis Dashwood,21985874,Francis Dashwood
John Goodricke,22000018,John Goodricke
Francis Osborne,22010611,Francis Osborne
Johannes Osborn,,Joh. Osborn
John Strachey,22018516,John Strachey
Mr Dupuys,22063536,Mons. Dupuys; Mr Dupuys; Mr. Dupuys; Monsr. dupuys; Dupuys
James Langham,22084759,James Langham
Bernard Mandeville,22145254,Bernard Mandeville
Isaac Newton,22146457,Mr Newton; Isaac Newton; Sr. Isaac Newton; Sr. Isaac Newton's
Jean Antoine Nollet,22150497,Jean Antoine Nollet
Gilbert Burnett,22151653,Gilbert Burnett; Dr. Burnet
Silvestre,,Silvestre
Sir Richard Steele,22167754,"Sir Richard Steele; Sr. Richard Steele; Steele, Sr. Richad"
Sir Edward Nicholas,76149066375565600915,Sir Edward Nicholas; Nicholas
James Harris,22182610,James Harris
Sauveur Morand,22200045,Sauveur-Francois Morand
Charles Pierre,22201759,Charles-Irenee Castel de Saint-Pierre
John Friend,22209566,John Friend; John Freind
Mark Akenside,22217492,Mark Akenside
John Gaspar Scheuchzer,22237799,John Gaspar Scheuchzer
Ezekie Spanheim,22269855,Ezekiel Spanheim; Ezechiel de Spanheim
Donato Rossetti,22369050,Donato Rossetti
Samuel Sharp,22468266,Samuel Sharp
William Croone,22469858,Dr. Crone; William Croone
Dr Gray,,Dr. Gray
Edmund Chishull,22478268,Mr Chishull; Mr. Chishull; Mr Chichele; Mr. Chichele
Walter Harris,22479704,Walter Harris; Dr Walt Harrys
Richard Manningham,22480316,Richard Manningham; Dr. Maningham
Jan Albert Schlosser,22482519,Jan Albert Schlosser
Charles Montagu,22485966,Charles Montagu; Lord Halifax; Charles Lord Hallifax; Ld Ch Halifax
William Fordyce,22510525,William Fordyce
Claude Bourdelin,22923750,Claude Bourdelin
Samuel Morland,22953147,Sam. Morland; Samuel Morland
Raymond Vieussens,23083871,Raymond Vieussens; D. Raymundi Vieussends
John Walsh,23196916,John Walsh
Isaac Rand,23200544,Isaac Rand
Colonel Wharton,,Colonel Wharton; Coll. Wharton
Mr Nash,23282729,Mr Nash; Mr. Nash
Robert Greene,23353145,Robert Greene
Charles Spencer,23471562,Charles Spencer
John Robartes,23568272,John Robartes
Robert Paston,23581458,Robert Paston
Pierre Chirac,23649689,Pierre Chirac
ThomasBrattle,23673467,Tho. Brattle
William Brattle,,William Brattle
William Beckett,23691214,William Beckett
John Russell,24160934,John Russell
Anne Coventry,24456891,Anne Coventry
Walter Chetwynd,24544886,Walter Chetwynd
William Friso,24574846,William Charles Henry Friso
Christian Leyoncrona,24576798,Christian Leyoncrona
Thomas Gibson,24590559,Thomas Gibson
Jean Fouchy,24592620,Jean Paul Grandjean de Fouchy
Edward Gibbon,24601933,Edward Gibbon
David Wilkins,24611480,David Wilkins
William Penn,24621346,William Penn
Bernard de Montfaucon,24624390,D Montfaucon
Richard Price,24632783,Richard Price
Nicolas Louis de Lacaille,24634619,Nicolas Louis de Lacaille
Leonhard Euler,24639786,Leonhard Euler
Peter Shaw,24644284,Peter Shaw
Joseph Tournefort,24663685,Joseph Pitten de Tournefort
Agostino Scilla,24685216,Agostino Scilla
Dr Walter Charleton,24689876,Walter Charlton; Dr. Walter Charleton; Dr. Charleton
William Molyneux,24698734,William Molyneux
Constantine John Phipps,24704440,Constantine John Phipps
George Steevens,24751220,George Steevens
James Edward Oglethorpe,24839761,James Edward Oglethorpe
Polemburg,24871345,Polemburg; Poelemburg
Henry Slingsby,24945015,Henry Slingsby
Charles Leigh,24945528,Dr Leigh; Dr. Leigh; Charles Leigh
Hugh Chamberlen,24947180,Hugh Chamberlen
Francis Fane,24947445,Francis Fane
Rowland Gwynne,24972450,Rowland Gwynne
William Rutty,24995924,Dr. Rutty; William Rutty
Joseph Lieutaud,25368242,Joseph Lieutaud
Jean Baptiste Montesquieu,25385506,Jean Baptiste Montesquieu
Robert Harley,25397613,Robert Harley; Earl of Oxford
Anthony Cooper,25404031,Anthony Cooper
Domenico Caraccioli,25406773,Domenico Caraccioli
Jean Mairan,25409673,Jean Jacques D' Ortous de Mairan
Martin Folkes,25477557,Martin Folkes
Charles Derby,25495585,Charles Earl of Derby; Charles Earle of Derby
Michael Lort,25551179,Michael Lort
Duke of Chandos,25708606,Duke of Chandos; Duke of Chandois; James Brydges
Duke of Bavaria,42633949,Duke of Bavaria; Max. lman.; Maximillian
William Duke of Gloucester,53062809,Duke of Glocester
John Urry,25743892,John Urry; Mr. Urry
Alexander Bruce,25769488,Alexander Bruce
Valentine Greatrakes,25774839,Mr. Greatrix; Valentine Greatrakes
Mr Wildy,25936371,Mr. Wildy
John Fortescue Aland,26024696,John Fortescue Aland
John Beaumont,26032571,John Beaumont
Samuel Farr,26102718,Samuel Farr
Robert Pitt,26104774,Robert Pitt
Edward Conway,26329288,Edward Conway
Brook Bridges,26916247,Brook Bridges
John Thorpe,26920765,John Thorpe; Dr Thorpe; John Thorpe Jr
George Mackay,26939165,George Mackay
Alexander Cuming,26941960,Alexander Cuming
Mr Alexander Gordon,61536758,Mr Alexander Gordon
Lord Colerane,26959343,Lord Colerane
Georg Christoph Lichtenberg,27067718,Georg Christoph Lichtenberg
Charles Montesquieu,27069096,Charles de Secondat Montesquieu
Andrew Michael Ramsay,27070583,Andrew Michael Ramsay
Paul Hyacinthe,27071255,Paul de Saint Hyacinthe
Thomas Willis,27073010,Thomas Willis
Luigi Ferdinando Marsigli,27075563,Luigi Ferdinando Marsigli
Joshua Reynolds,27081216,Joshua Reynolds
Henry More,27088157,Henry More
Francois Henri Turbilly,27177605,Francois Henri Turbilly
Jean Quintinie,27199905,Jean de La Quintinie; M. Dela Quintiny
Ephraim Chambers,27206124,Ephraim Chambers
Elias Ashmole,27215170,Elias Ashmole
Jacob Theodor Klein,27218731,Jacobus Theodorus Klein; Theodorus Klein; Jacob Theodor Klein
James Ferguson,27271796,James Ferguson
Edward Lhwyd,27284327,E. Lhwyd; Eduardi Luidii; Edward Lhuyd; Edward Lhwyd; Lhuid; Mr Lhwd; Mr. Lhwyd
Laurence Braddon,27412072,Laurence Braddon
Pietro Antonio Michelotti,27459106,Pietro Antonio Michelotti; Petri Antonii Michelotti
Marmaduke Tunstall,27466680,Marmaduke Tunstall
Christopher Packe,27500854,Christopher Packe; Dr. Pack
Giulio Toschi,27850041,Giulio Carlo Fagnano dei Toschi
Claude Geoffroy1,27850975,Claude Joseph Geoffroy; Claude-Joseph Geoffroy; Mons. Geofroy; Mr Geoffroy; Mr. Geoffroy; Mr. Geoffroy
John Dollond,27854068,John Dollond
Richard Bentley,27862472,Richard Bentley
Frank van Borselen,34196032,Frank of Borsalia Earl of Ostervant
Douglas,27917220,Douglas
Fuller painter,27959295,Mr Fuller the painter
